data,canal,tema,resumo,resolvido
2025-09-15,chat,CDB,Cliente perguntou sobre rentabilidade e prazos,sim
2025-09-22,telefone,Problema no app,Erro ao visualizar extrato foi corrigido,sim
2025-10-01,chat,Tesouro Selic,Cliente pediu explicação sobre o funcionamento do Tesouro Direto,sim
2025-10-12,chat,Metas financeiras,Cliente acompanhou o progresso da reserva de emergência,sim
2025-10-25,email,Atualização cadastral,Cliente atualizou e-mail e telefone,sim
2026-02-08 16:00:25,chat,interacao,"Boa tarde, Guto! Você sabe se o Flamengo ganhou ontem?",sim
2026-02-08 16:00:36,chat,interacao,Vai chover?,sim
2026-02-08 16:01:04,chat,interacao,Quanto falta pra minha meta?,sim
2026-02-08 16:01:12,chat,interacao,Quanto eu gastei esse mês?,sim
2026-02-08 16:01:18,chat,interacao,Me explica Tesouro Selic,sim
2026-02-08 16:02:06,chat,interacao,clear,sim
2026-02-08 16:03:35,chat,interacao,Quanto falta pra minha meta?,sim
2026-02-08 16:03:42,chat,interacao,Quanto eu gastei esse mês?,sim
2026-02-08 16:03:53,chat,interacao,Me explica Tesouro Selic,sim
2026-02-08 16:20:39,chat,interacao,"Guto, pode me ajudar com uma meta financeira para viajar?",sim
2026-02-08 16:21:34,chat,interacao,Quanto falta pra minha meta?,sim
2026-02-08 16:22:07,chat,interacao,Quanto eu gastei esse mês?,sim
2026-02-08 16:22:15,chat,interacao,Me explica Tesouro Selic,sim
2026-02-08 16:22:22,chat,interacao,Meu limite mensal é R$ 3000 e já gastei R$ 2400. Estou perto de estourar?,sim
2026-02-08 16:22:29,chat,interacao,"Guto, quem ganhou o jogo ontem?",sim
2026-02-08 16:22:35,chat,interacao,Quero comprar um carro em 5 anos. Como me planejo?,sim
